universite_adi;Acıbadem Mehmet Ali Aydınlar Üniversitesi ;Altınbaş Üniversitesi;ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU;BAHÇEŞEHİR ÜNİVERSİTESİ;BEYKOZ ÜNİVERSİTESİ;BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ;BİRUNİ ÜNİVERSİTESİ;BOĞAZİÇİ ÜNİVERSİTESİ;DEMİROĞLU BİLİM ÜNİVERSİTESİ;DOĞUŞ ÜNİVERSİTESİ;FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ;FENERBAHÇE ÜNİVERSİTESİ;GALATASARAY ÜNİVERSİTESİ;HALİÇ ÜNİVERSİTESİ;IŞIK ÜNİVERSİTESİ;İBN HALDUN ÜNİVERSİTESİ;İSTANBUL 29 MAYIS ÜNİVERSİTESİ;İSTANBUL AREL ÜNİVERSİTESİ;İSTANBUL ATLAS ÜNİVERSİTESİ;İSTANBUL AYDIN ÜNİVERSİTESİ;İSTANBUL BEYKENT ÜNİVERSİTESİ;İSTANBUL BİLGİ ÜNİVERSİTESİ;İSTANBUL ESENYURT ÜNİVERSİTESİ;İSTANBUL GALATA ÜNİVERSİTESİ;İSTANBUL GEDİK ÜNİVERSİTESİ;İSTANBUL GELİŞİM ÜNİVERSİTESİ;İSTANBUL KENT ÜNİVERSİTESİ;İSTANBUL KÜLTÜR ÜNİVERSİTESİ;İSTANBUL MEDENİYET ÜNİVERSİTESİ;İSTANBUL MEDİPOL ÜNİVERSİTESİ;İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ;İSTANBUL OKAN ÜNİVERSİTESİ;İSTANBUL RUMELİ ÜNİVERSİTESİ;İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ;İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU;İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ;İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU;İSTANBUL TEKNİK ÜNİVERSİTESİ;İSTANBUL TİCARET ÜNİVERSİTESİ;İSTANBUL TOPKAPI ÜNİVERSİTESİ;İSTANBUL ÜNİVERSİTESİ;İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA;İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ;İSTİNYE ÜNİVERSİTESİ;KADİR HAS ÜNİVERSİTESİ;KOÇ ÜNİVERSİTESİ;MALTEPE ÜNİVERSİTESİ;MARMARA ÜNİVERSİTESİ;MEF ÜNİVERSİTESİ;MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ;ÖZYEĞİN ÜNİVERSİTESİ;PİRİ REİS ÜNİVERSİTESİ;SABANCI ÜNİVERSİTESİ;SAĞLIK BİLİMLERİ ÜNİVERSİTESİ;TÜRK-ALMAN ÜNİVERSİTESİ;ÜSKÜDAR ÜNİVERSİTESİ;YEDİTEPE ÜNİVERSİTESİ;YILDIZ TEKNİK ÜNİVERSİTESİ;Taksim Meydan
MARMARA ÜNİVERSİTESİ;6.9544;36.4665;13.5366;11.997;18.4303;14.3037;15.7884;15.5351;12.7547;14.3667;15.1323;8.5655;13.4004;20.2814;23.528;38.3531;9.2529;67.4953;17.2072;28.6737;18.421;20.4867;40.331;14.3813;21.2784;38.7324;16.1972;24.6191;4.4268;18.0387;18.8853;36.1714;104.6277;31.5163;18.0023;17.8798;18.649;17.3231;18.8904;14.5404;13.4363;41.3995;16.9675;17.6093;14.0112;31.5898;15.2981;0;16.6015;14.6466;26.778;36.2665;35.4611;5.7578;27.6326;7.9279;10.3067;12.6961;15.8981
MEF ÜNİVERSİTESİ;25.4622;23.1056;27.1652;8.2618;14.0836;16.4319;18.1235;8.5963;5.5865;25.2082;18.4003;26.694;8.529;9.4343;8.4531;24.9921;20.3751;54.1343;3.9189;30.9767;1.8195;11.4004;37.2326;14.595;41.6937;38.985;6.6049;29.6136;15.4819;12.8922;2.9877;49.8;91.2668;24.9825;15.3244;11.1353;2.4271;4.0275;10.7147;20.2725;4.9645;36.3756;16.9641;17.6421;15.6056;16.5148;34.7344;17.3504;0;3.1599;37.7947;60.6214;49.0897;15.7083;21.7029;11.887;29.0557;6.6762;12.7539
MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ;22.6864;22.6007;24.3894;5.4859;11.3077;14.0537;15.7453;5.8204;2.8106;22.4324;16.0221;23.9182;5.7531;8.9294;9.6622;24.4873;17.5993;53.6295;3.8388;30.4719;4.5775;8.1571;36.7278;11.8191;38.9178;38.4802;3.7354;22.1498;12.706;10.1164;5.0195;47.0241;90.7619;24.4777;12.5485;9.7388;4.7832;3.4574;6.9221;17.8942;2.1887;35.8707;14.5859;15.2639;12.8297;17.724;31.9585;14.5745;2.7357;0;35.0188;57.8455;46.3138;12.9324;18.9271;9.1111;26.2798;3.9003;9.978
ÖZYEĞİN ÜNİVERSİTESİ;19.6065;54.5883;16.0363;30.5365;28.3047;40.7342;42.4257;32.6815;35.274;11.3178;39.1036;19.0245;31.9399;40.9171;43.7601;56.4749;19.248;85.6171;38.4944;52.6451;38.653;42.8832;68.7154;38.4995;23.8155;70.4678;37.8511;61.0964;25.0223;27.1134;39.1173;24.566;123.6566;56.4653;37.5991;42.6181;38.8811;34.2753;42.1975;38.5118;34.7987;67.8584;41.2663;41.9444;39.5102;51.8218;15.3918;25.9744;36.8335;34.8786;0;38.3479;24.3722;27.6842;35.924;26.3734;18.7165;31.2356;35.0286
PİRİ REİS ÜNİVERSİTESİ;31.5489;73.363;29.8638;46.0555;47.0794;44.2689;45.7536;49.5936;46.8131;32.7321;45.0975;34.0038;47.4588;54.3398;57.5865;75.2496;38.0347;104.3918;51.2656;58.6389;52.4794;54.5452;70.2962;44.3465;13.8276;68.6976;50.2556;54.5843;31.5348;45.888;52.9437;23.8496;152.4752;61.4815;47.9675;51.9382;52.7075;51.3816;52.9488;44.5056;47.4947;71.3647;56.7853;57.4633;43.9764;65.6482;25.8485;35.1027;50.6599;48.705;39.3099;0;13.5296;35.1035;54.6987;41.9863;28.0279;46.7546;50.5476
SABANCI ÜNİVERSİTESİ;28.5837;65.4353;24.7741;40.9658;41.6835;46.491;52.855;44.5039;41.7234;27.6424;47.3195;28.1544;42.3692;49.2501;52.4968;67.3219;32.945;96.4641;46.176;60.8609;47.3898;49.4555;79.5623;48.9288;16.3775;73.4482;45.166;56.8063;33.0099;40.4922;47.8541;9.2161;140.7405;67.3123;48.0284;46.8486;47.6178;46.2919;47.8592;46.7277;42.4051;78.7053;51.6956;52.3736;46.1984;60.5585;24.7584;34.7122;45.5703;43.6153;26.0026;13.1133;0;38.2074;49.3029;36.8967;27.6937;41.6649;45.4579
SAĞLIK BİLİMLERİ ÜNİVERSİTESİ;10.0241;27.2258;15.8265;11.8082;17.1245;12.6221;14.1067;15.3463;12.5658;16.0393;13.4506;11.2611;13.2116;20.0925;23.3392;34.7014;10.2298;58.2546;17.0184;26.9921;18.2322;20.2979;38.6494;12.6997;23.8217;37.0507;16.0083;22.9374;6.7167;16.7328;18.6964;38.4613;95.3871;29.8347;16.3206;17.691;18.4602;17.1343;18.7016;12.8588;13.2475;39.7178;15.2858;15.9277;12.3296;31.4009;18.3678;4.146;16.4127;14.4577;30.5942;37.4926;37.751;0;26.3267;6.5756;13.3765;12.5073;14.2165
TÜRK-ALMAN ÜNİVERSİTESİ;24.7325;38.5977;26.4354;21.9586;9.843;31.924;33.6156;16.6908;19.2833;24.4785;33.8924;25.9643;22.2258;24.9264;27.7694;40.4843;19.6454;69.6265;22.5037;46.4688;22.6624;26.8925;52.7247;28.2918;40.9639;54.4771;21.8604;45.1057;25.4197;9.793;23.1267;49.0702;106.7589;40.4747;29.0212;26.6275;22.8904;18.2847;26.2069;35.7646;18.808;51.8677;32.4562;33.1343;29.3024;35.8311;34.0046;28.7292;20.8429;18.8879;37.0649;59.8916;48.3599;28.0815;0;21.0313;28.3259;20.373;26.4507
ÜSKÜDAR ÜNİVERSİTESİ;12.8328;31.2263;15.2157;6.7568;11.8455;16.9544;18.646;10.2949;7.5144;15.7598;18.9228;11.6294;8.1602;15.0411;18.2878;33.1129;8.1925;62.255;11.967;29.6604;13.1808;15.2465;45.3533;14.7198;29.7442;39.2392;10.9569;25.0505;6.1589;11.4539;13.645;37.8505;99.3875;33.1032;13.8194;12.6396;13.4088;12.0829;13.6502;15.5271;8.1961;44.4963;17.4866;18.1646;15.7304;26.3495;22.7849;8.0274;11.3613;9.4063;28.3122;48.6719;37.1402;4.6995;21.0478;0;16.804;7.4559;11.2489
YEDİTEPE ÜNİVERSİTESİ;4.2804;45.9597;5.2986;21.4902;27.1732;22.6103;24.0949;25.0283;22.2479;7.8679;23.4388;6.0163;22.8936;29.7746;33.0212;47.8463;13.591;76.9885;26.7004;36.9803;27.9142;29.9799;48.6376;22.6879;14.822;47.0389;25.6904;32.9256;9.8761;25.9819;28.3785;28.2646;114.1209;39.8229;26.3088;27.373;28.1422;26.8164;28.3836;22.847;22.9295;49.706;25.274;25.9159;22.3178;41.083;5.4729;11.1857;26.0947;24.1398;20.2792;31.767;27.5543;13.4448;34.7926;17.4211;0;22.1893;24.2047
YILDIZ TEKNİK ÜNİVERSİTESİ;24.5179;26.2198;19.9038;2.0604;13.1392;12.2818;13.9734;5.2884;2.508;24.2639;14.2502;16.3175;2.2856;10.3685;13.2814;28.1064;13.2731;57.2486;7.3466;25.4418;8.1743;10.5739;40.3469;7.3138;34.4322;34.5666;6.7033;20.3779;10.8469;11.9479;8.6386;42.5385;94.3811;28.0968;9.123;7.9669;8.4024;7.0765;8.9775;16.1223;3.6509;39.4898;12.814;13.492;8.7227;21.3431;27.4729;12.7155;6.3548;4.3999;36.8503;53.3599;41.8282;11.0734;20.7585;7.252;21.492;0;6.5526
Taksim Meydan;21.0137;23.4391;23.3966;2.9008;17.6259;7.8333;9.7728;9.7752;5.4164;24.3332;9.1167;19.8103;5.6962;10.2077;17.7681;30.1154;16.7659;54.4679;8.3239;24.4733;11.3086;10.9429;37.5661;3.3799;37.9251;34.5319;6.8834;20.4186;14.3398;16.4346;13.1253;46.0314;91.6003;25.3161;6.7992;8.5249;12.8891;11.5632;7.814;10.34;6.1053;36.7091;12.223;12.901;4.7888;25.8298;30.9657;16.2083;10.8416;8.3955;36.8857;56.8528;45.3211;14.5662;25.2453;10.7449;24.9849;4.7508;0
